City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kenora,49.8167,-94.4337,25.54,57,40,6.17,CA,1687223896
1,puerto natales,-51.7236,-72.4875,-0.77,91,100,1.6,CL,1687223383
2,pisco,-13.7,-76.2167,21.03,73,100,1.54,PE,1687223601
3,nyagan,62.1406,65.3936,6.8,72,100,5.16,RU,1687223630
4,bethel,41.3712,-73.414,20.48,77,75,2.57,US,1687223609
5,edinburgh of the seven seas,-37.0676,-12.3116,15.82,96,100,12.81,SH,1687223603
6,bredasdorp,-34.5322,20.0403,9.21,72,96,5.66,ZA,1687223598
7,tura,25.5198,90.2201,23.79,97,83,3.31,IN,1687223449
8,albany,42.6001,-73.9662,21.23,75,82,0.5,US,1687223457
9,dangriga,16.9692,-88.2321,27.14,82,52,5.35,BZ,1687224074
10,adamstown,-25.066,-130.1015,23.77,80,69,10.42,PN,1687223605
11,carnarvon,-24.8667,113.6333,18.26,69,1,5.64,AU,1687223613
12,port-aux-francais,-49.35,70.2167,3.01,66,67,14.44,TF,1687223605
13,dudinka,69.4058,86.1778,4.79,94,100,2.78,RU,1687223598
14,santa rosa de copan,14.7667,-88.7833,19.02,94,88,0.72,HN,1687224075
15,grytviken,-54.2811,-36.5092,-2.69,84,14,4.69,GS,1687223597
16,hawaiian paradise park,19.5933,-154.9731,25.73,85,100,4.12,US,1687223621
17,yopal,5.3378,-72.3959,22.48,90,30,1.42,CO,1687224075
18,guangshui,31.6199,113.9978,27.94,72,2,1.64,CN,1687224075
19,waitangi,-43.9535,-176.5597,13.23,78,56,4.02,NZ,1687223321
20,san patricio,28.017,-97.5169,32.88,74,3,7.15,US,1687223686
21,klyuchi,52.2667,79.1667,15.96,58,0,8.7,RU,1687223619
22,constantia,44.1833,28.65,17.61,84,29,3.54,RO,1687223614
23,anna regina,7.2644,-58.5077,25.75,84,1,2.68,GY,1687224077
24,puerto ayora,-0.7393,-90.3518,25.86,92,3,2.24,EC,1687223621
25,menomonie,44.8755,-91.9193,29.02,48,0,0.0,US,1687224077
26,bonthe,7.5264,-12.505,24.9,89,10,2.12,SL,1687224077
27,tiksi,71.6872,128.8694,8.56,81,100,3.97,RU,1687223615
28,loiza,18.4313,-65.8802,28.49,77,20,2.06,PR,1687224077
29,trujillo,-8.116,-79.03,20.98,83,75,3.09,PE,1687224078
30,am timan,11.0297,20.2827,24.4,80,100,2.08,TD,1687224078
31,isafjordur,66.0755,-23.124,5.06,93,100,3.57,IS,1687223611
32,grand falls-windsor,48.9332,-55.6649,4.17,93,100,0.89,CA,1687224078
33,caldas novas,-17.7417,-48.625,17.43,54,0,1.7,BR,1687224078
34,fale old settlement,-9.3852,-171.2468,28.15,68,39,3.69,TK,1687223655
35,siguiri,11.6667,-9.5,26.28,70,74,2.07,GN,1687224079
36,margaret river,-33.95,115.0667,11.46,66,86,7.39,AU,1687223611
37,fortuna,40.5982,-124.1573,15.52,74,75,6.69,US,1687223445
38,dryden,49.7833,-92.7503,26.16,53,0,4.12,CA,1687224080
39,colonia,50.9333,6.95,22.12,72,100,3.09,DE,1687223591
40,kismayo,-0.3582,42.5454,25.33,82,25,5.72,SO,1687224080
41,stanley,54.868,-1.6985,14.39,89,0,1.03,GB,1687223636
42,tacuarembo,-31.7333,-55.9833,10.05,76,100,2.6,UY,1687224080
43,qaqortoq,60.7167,-46.0333,1.88,87,32,0.68,GL,1687223629
44,ribeira grande,38.5167,-28.7,18.76,90,100,3.13,PT,1687223636
45,notse,6.95,1.1667,23.06,98,100,2.3,TG,1687224081
46,ilulissat,69.2167,-51.1,7.01,61,75,0.0,GL,1687223605
47,guadalupe y calvo,26.1,-106.9667,14.62,74,100,4.36,MX,1687224078
48,kavieng,-2.5744,150.7967,28.95,73,100,3.47,PG,1687224082
49,afaahiti,-17.75,-149.2833,27.93,78,0,4.44,PF,1687223666
50,iqaluit,63.7506,-68.5145,5.85,75,100,3.09,CA,1687223634
51,nelson bay,-32.7167,152.15,15.0,47,0,5.36,AU,1687224084
52,kodiak,57.79,-152.4072,17.73,52,0,3.09,US,1687223604
53,pemba,-12.974,40.5178,23.71,78,70,1.25,MZ,1687224084
54,saipan,15.1355,145.701,31.39,100,40,6.69,MP,1687223450
55,ushuaia,-54.8,-68.3,3.81,65,0,1.54,AR,1687223605
56,malango,-2.9627,119.9001,22.33,90,98,0.64,ID,1687224085
57,carrick-on-suir,52.3492,-7.4131,16.98,96,100,1.99,IE,1687224085
58,hermanus,-34.4187,19.2345,9.89,66,100,8.09,ZA,1687223599
59,okha,53.5739,142.9478,11.18,79,22,4.59,RU,1687224085
60,le port,-20.9373,55.2919,21.0,86,20,1.98,RE,1687223693
61,vernon,50.2581,-119.2691,12.34,59,100,1.43,CA,1687224085
62,askino,56.0901,56.5783,2.5,86,9,2.06,RU,1687224086
63,susuman,62.7833,148.1667,22.72,24,2,1.32,RU,1687223663
64,gantang,26.92,119.6333,32.37,63,93,0.89,CN,1687224086
65,fisterra,42.9049,-9.2629,14.3,86,1,1.7,ES,1687223686
66,rawson,-43.3002,-65.1023,5.22,63,3,4.28,AR,1687224047
67,invercargill,-46.4,168.35,11.05,79,89,1.58,NZ,1687223623
68,papatowai,-46.5619,169.4708,12.11,89,100,5.66,NZ,1687223600
69,kaoma,-14.7833,24.8,10.13,42,0,1.6,ZM,1687223664
70,aksu,41.1231,80.2644,26.78,29,96,2.35,CN,1687224087
71,uren',57.4552,45.7852,5.6,98,100,1.91,RU,1687224087
72,keflavik,64.0049,-22.5624,9.95,87,75,5.66,IS,1687223661
73,murghob,38.1702,73.9667,8.2,41,0,2.29,TJ,1687224088
74,st. john's,47.5649,-52.7093,6.63,97,100,3.6,CA,1687223626
75,curup,-3.4667,102.5333,22.13,93,100,0.46,ID,1687224020
76,praia da vitoria,38.7333,-27.0667,19.14,88,75,1.46,PT,1687223609
77,borgarnes,64.5383,-21.9206,10.03,91,100,3.93,IS,1687224088
78,lompoc,34.6391,-120.4579,22.66,67,0,4.02,US,1687223457
79,vorgashor,67.5833,63.95,3.92,76,100,4.36,RU,1687223621
80,fort mcmurray,56.7268,-111.381,13.77,94,100,6.17,CA,1687224089
81,la passe,45.5549,-0.8967,21.13,91,100,3.89,FR,1687224089
82,port mathurin,-19.6833,63.4167,24.15,65,14,9.39,MU,1687223612
83,tamanrasset,22.785,5.5228,25.95,22,40,1.03,DZ,1687223610
84,orangeburg,33.4918,-80.8557,24.16,91,75,1.54,US,1687224090
85,cabo san lucas,22.8909,-109.9124,34.61,20,75,5.14,MX,1687224090
86,el calafate,-50.3408,-72.2768,-0.53,65,100,0.93,AR,1687224090
87,kailua-kona,19.6406,-155.9956,28.98,80,40,5.14,US,1687223600
88,lihue,21.9789,-159.3672,28.58,66,20,5.14,US,1687223641
89,nueva gerona,21.8833,-82.8,29.29,61,0,4.1,CU,1687224091
90,metlili chaamba,32.2667,3.6333,30.52,9,0,8.23,DZ,1687224091
91,lubang,13.8584,120.124,28.82,73,86,2.03,PH,1687224091
92,guymon,36.6828,-101.4816,32.0,27,0,3.09,US,1687224091
93,wailua homesteads,22.0669,-159.378,28.24,72,20,5.14,US,1687223671
94,at taraf,25.3628,49.725,29.3,17,26,5.25,SA,1687224092
95,yellowknife,62.456,-114.3525,16.29,48,20,4.63,CA,1687223612
96,qamdo,31.1667,97.2333,3.52,87,100,3.48,CN,1687223643
97,port douglas,-16.4833,145.4667,23.65,66,65,2.31,AU,1687224093
98,kendari,-3.945,122.4989,27.22,69,95,1.45,ID,1687224093
99,aktau,43.65,51.2,14.32,39,55,3.36,KZ,1687224093
100,uturoa,-16.7333,-151.4333,26.88,76,6,2.82,PF,1687223652
101,zhuanghe,39.7008,122.9911,18.94,90,100,5.77,CN,1687224094
102,ust-nera,64.5667,143.2,24.28,26,100,1.69,RU,1687223659
103,west island,-12.1568,96.8225,25.99,89,75,2.57,CC,1687223627
104,san antonio de pale,-1.4014,5.6325,24.48,78,98,6.88,GQ,1687223638
105,neiafu,-18.65,-173.9833,26.38,65,20,4.12,TO,1687224094
106,olonkinbyen,70.9221,-8.7187,4.21,98,100,4.73,SJ,1687223598
107,port lincoln,-34.7333,135.8667,13.02,61,11,5.29,AU,1687223630
108,arraial do cabo,-22.9661,-42.0278,21.17,59,100,3.19,BR,1687223701
109,mossel bay,-34.1831,22.146,10.99,71,40,10.43,ZA,1687223696
110,hoemul-li,41.4339,129.67,19.8,73,100,1.61,KP,1687224095
111,bilajer,40.5681,50.0378,21.9,88,20,3.09,AZ,1687224095
112,pangkalanbuun,-2.6833,111.6167,23.81,98,100,0.96,ID,1687224095
113,sao joao dos inhamuns,-6.0,-40.2833,22.07,70,0,2.87,BR,1687224096
114,whitehorse,60.7161,-135.0538,21.12,30,40,1.79,CA,1687223361
115,utrik,11.2278,169.8474,27.89,78,95,6.58,MH,1687223668
116,margate,51.3813,1.3862,17.95,81,100,0.45,GB,1687224016
117,menongue,-14.6585,17.691,9.42,46,0,1.52,AO,1687224096
118,anar darah,32.7587,61.654,29.25,17,0,4.07,AF,1687224097
119,ta`u,-14.2336,-169.5144,26.97,76,3,2.98,AS,1687224097
120,east london,-33.0153,27.9116,13.85,47,2,9.79,ZA,1687223653
121,cuyo,10.8525,121.0086,28.92,67,66,0.95,PH,1687224097
122,tralee,52.2704,-9.7026,12.36,95,14,2.07,IE,1687223653
123,tanjung pandan,-2.75,107.65,26.47,83,100,2.25,ID,1687224097
124,tazovsky,67.4667,78.7,2.47,91,100,3.58,RU,1687223690
125,conde,-7.2597,-34.9075,23.7,100,20,0.51,BR,1687224098
126,badger,64.8,-147.5333,20.84,42,100,3.6,US,1687223643
127,anka,12.1138,5.9243,28.02,63,99,4.51,NG,1687224098
128,udachny,66.4167,112.4,11.92,46,100,4.04,RU,1687223634
129,port-vila,-17.7338,168.3219,25.78,61,40,5.66,VU,1687224099
130,ust'-ilimsk,58.0006,102.6619,16.03,34,100,1.69,RU,1687223705
131,labasa,-16.4167,179.3833,25.35,73,100,2.04,FJ,1687224099
132,narvik,68.4384,17.4272,18.54,70,100,3.62,NO,1687223720
133,gusinje,42.5638,19.8333,13.99,73,0,0.79,ME,1687224099
134,gadzhiyevo,69.2551,33.3362,5.57,80,5,1.58,RU,1687224100
135,talnakh,69.4865,88.3972,4.56,100,100,2.05,RU,1687223624
136,vilyuchinsk,52.9306,158.4028,9.15,90,100,0.45,RU,1687223613
137,monahans,31.5943,-102.8926,41.38,10,3,4.86,US,1687224100
138,bilibino,68.0546,166.4372,18.11,42,46,8.71,RU,1687223623
139,palikir - national government center,6.9248,158.1611,31.41,70,75,5.66,FM,1687223609
140,blackmans bay,-43.0167,147.3167,8.62,70,53,3.84,AU,1687223604
141,sitka,57.0531,-135.33,16.94,67,0,6.69,US,1687223337
142,taro,-8.3862,115.28,22.0,56,6,0.73,ID,1687224101
143,oltinko'l,40.8011,72.1634,25.64,46,27,4.65,UZ,1687224101
144,mugia,43.1041,-9.2179,14.39,88,3,2.63,ES,1687223614
145,baardheere,2.3446,42.2764,23.87,83,92,5.95,SO,1687224101
146,college,64.8569,-147.8028,20.88,40,100,3.6,US,1687223606
147,tual,-5.6667,132.75,26.82,80,57,9.69,ID,1687224102
148,wuhu,31.3366,118.3755,26.22,80,100,3.13,CN,1687224102
149,new norfolk,-42.7826,147.0587,9.28,58,79,1.79,AU,1687224102
150,avarua,-21.2078,-159.775,26.03,89,40,4.12,CK,1687223616
151,soio,-6.1349,12.3689,21.2,86,85,2.79,AO,1687224103
152,karratha,-20.7377,116.8463,17.51,92,100,7.8,AU,1687223587
153,oranjemund,-28.55,16.4333,12.28,84,100,3.96,NA,1687224103
154,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,93,75,2.0,RU,1687223620
155,san julian,21.0167,-102.1667,30.47,12,28,8.15,MX,1687224103
156,salalah,17.0151,54.0924,28.05,94,75,2.06,OM,1687223699
157,tsumeb,-19.2333,17.7167,15.56,18,0,2.22,NA,1687224104
158,kruisfontein,-34.0033,24.7314,9.94,76,99,12.29,ZA,1687223676
159,hithadhoo,-0.6,73.0833,28.62,73,94,4.95,MV,1687223642
160,atafu village,-8.5421,-172.5159,28.2,68,14,4.51,TK,1687223622
161,crane,31.3974,-102.3501,40.16,10,19,4.04,US,1687223648
162,shamakhi,40.6314,48.6414,16.97,79,11,1.54,AZ,1687224105
163,homer,59.6425,-151.5483,16.93,65,100,6.69,US,1687224105
164,souillac,-20.5167,57.5167,22.21,73,40,4.12,MU,1687224105
165,wangjing,24.6,94.0333,22.52,88,100,0.33,IN,1687224106
166,jamestown,42.097,-79.2353,23.8,56,75,3.09,US,1687223401
167,flin flon,54.7682,-101.865,22.32,38,1,5.56,CA,1687223521
168,fort bragg,35.139,-79.006,22.91,88,100,2.06,US,1687223578
169,los banos,14.1667,121.1833,29.86,68,33,0.94,PH,1687223925
170,hami,42.8,93.45,33.27,6,11,3.61,CN,1687223400
171,alcaniz,41.05,-0.1333,22.56,57,100,1.62,ES,1687224107
172,nanpara,27.8667,81.5,30.6,56,100,5.71,IN,1687224107
173,wildwood,38.5828,-90.6629,27.91,59,0,0.0,US,1687223921
174,dukhan,25.4297,50.7858,30.39,56,96,6.29,QA,1687224107
175,lobujya,27.95,86.8167,0.73,77,62,1.15,NP,1687224107
176,naha,26.2125,127.6811,29.15,84,75,4.63,JP,1687224108
177,devils lake,48.1128,-98.8651,30.99,45,0,6.69,US,1687224108
178,lerwick,60.1545,-1.1494,14.0,95,26,6.19,GB,1687223638
179,cidreira,-30.1811,-50.2056,15.66,78,100,6.92,BR,1687223688
180,grants,35.1473,-107.8514,28.13,12,0,6.69,US,1687224108
181,anadyr,64.75,177.4833,22.28,35,20,5.0,RU,1687223611
182,bensonville,6.4461,-10.6125,25.75,95,93,1.48,LR,1687224109
